target_lang	template	benchmark	data	instr	matched_diagonal	condition	data_volume	matched_instr_for_this_condition	mean_acc_across_seeds	n_seeds
en	2	xnli	zh	zh	y	condition-1-en-20k	20k	n	0.2868	1
zh	1	belebele	en	en	y	baseline		n	0.7678	1
zh	1	belebele	en	en	y	condition-1-en-5k	5k	y	0.7781	3
zh	1	belebele	en	en	y	condition-1-en-20k	20k	y	0.7767	1
zh	1	belebele	en	en	y	condition-2-zh-5k	5k	n	0.7796	3
zh	1	belebele	en	en	y	condition-2-zh-20k	20k	n	0.7889	1
zh	1	belebele	en	en	y	condition-3-zh-5k	5k	n	0.7911	1
zh	1	belebele	en	en	y	condition-5-zh-5k	5k	n	0.7778	1
zh	1	belebele	en	es	n	baseline		n	0.7611	1
zh	1	belebele	en	es	n	condition-1-en-5k	5k	n	0.7604	3
zh	1	belebele	en	es	n	condition-1-en-20k	20k	n	0.7611	1
zh	1	belebele	en	ur	n	baseline		n	0.7411	1
zh	1	belebele	en	ur	n	condition-1-en-5k	5k	n	0.7548	3
zh	1	belebele	en	ur	n	condition-1-en-20k	20k	n	0.7611	1
zh	1	belebele	en	zh	n	baseline		n	0.7889	1
