condition	seed	benchmark	data	instr	matched_instr	matched_diagonal	t1_acc	t2_acc	delta_t2_t1	t1_count	t2_count	t1_correct	t2_correct
condition-1-en-5k	42	xnli	ur	ur	n	y	0.3339	0.3273	-0.0066	5010	5010	1673	1640
condition-1-en-5k	42	xnli	ur	zh	n	n	0.3329	0.2749	-0.0581	5010	5010	1668	1377
condition-1-en-5k	42	xnli	zh	en	y	n	0.3984	0.4261	+0.0277	5010	5010	1996	2135
condition-1-en-5k	42	xnli	zh	es	n	n	0.3333	0.3689	+0.0355	5010	5010	1670	1848
condition-1-en-5k	42	xnli	zh	ur	n	n	0.3369	0.3369	+0.0000	5010	5010	1688	1688
condition-1-en-5k	42	xnli	zh	zh	n	y	0.3331	0.3042	-0.0289	5010	5010	1669	1524
condition-1-en-5k	456	belebele	en	en	y	y	0.7767	0.7856	+0.0089	900	900	699	707
condition-1-en-5k	456	belebele	en	es	n	n	0.7600	0.7811	+0.0211	900	900	684	703
condition-1-en-5k	456	belebele	en	ur	n	n	0.7589	0.7611	+0.0022	900	900	683	685
condition-1-en-5k	456	belebele	en	zh	n	n	0.7878	0.7967	+0.0089	900	900	709	717
condition-1-en-5k	456	belebele	es	en	y	n	0.6967	0.7067	+0.0100	900	900	627	636
condition-1-en-5k	456	belebele	es	es	n	y	0.6689	0.6922	+0.0233	900	900	602	623
condition-1-en-5k	456	belebele	es	ur	n	n	0.6356	0.6389	+0.0033	900	900	572	575
condition-1-en-5k	456	belebele	es	zh	n	n	0.6956	0.7222	+0.0267	900	900	626	650
condition-1-en-5k	456	belebele	ur	en	y	n	0.6133	0.6156	+0.0022	900	900	552	554
condition-1-en-5k	456	belebele	ur	es	n	n	0.5333	0.5656	+0.0322	900	900	480	509
condition-1-en-5k	456	belebele	ur	ur	n	y	0.5389	0.5233	-0.0156	900	900	485	471
condition-1-en-5k	456	belebele	ur	zh	n	n	0.6000	0.6022	+0.0022	900	900	540	542
condition-1-en-5k	456	belebele	zh	en	y	n	0.7533	0.7611	+0.0078	900	900	678	685
condition-1-en-5k	456	belebele	zh	es	n	n	0.7067	0.7344	+0.0278	900	900	636	661
condition-1-en-5k	456	belebele	zh	ur	n	n	0.7133	0.7100	-0.0033	900	900	642	639
condition-1-en-5k	456	belebele	zh	zh	n	y	0.7767	0.7556	-0.0211	900	900	699	680
condition-1-en-5k	456	csqa	en	en	y	y	0.6120	0.6090	-0.0030	1000	1000	612	609
condition-1-en-5k	456	csqa	en	es	n	n	0.6190	0.6200	+0.0010	1000	1000	619	620
condition-1-en-5k	456	csqa	en	ur	n	n	0.5920	0.5860	-0.0060	1000	1000	592	586
