condition	target_lang	seed	template	benchmark	data	instr	matched_diagonal	matched_instr	baseline_acc	cond_1_en_5k_acc	cond_acc	delta_vs_baseline	delta_en_finetune_only	delta_language_specific
condition-2-es-5k	es	42	2	xnli	ur	es	n	y	0.2499	0.3744	0.4044	+0.1545	+0.1245	+0.0300
condition-2-es-5k	es	42	2	xnli	zh	en	n	n	0.4649	0.4415	0.4072	-0.0577	-0.0234	-0.0343
condition-2-es-5k	es	42	2	xnli	zh	es	n	y	0.3637	0.3677	0.3719	+0.0082	+0.0041	+0.0041
condition-2-es-5k	es	456	1	belebele	en	en	y	n	0.7678	0.7781	0.7833	+0.0156	+0.0104	+0.0052
condition-2-es-5k	es	456	1	belebele	en	es	n	y	0.7611	0.7604	0.7767	+0.0156	-0.0007	+0.0163
condition-2-es-5k	es	456	1	belebele	es	en	n	n	0.6911	0.7000	0.7089	+0.0178	+0.0089	+0.0089
condition-2-es-5k	es	456	1	belebele	es	es	y	y	0.6722	0.6719	0.6733	+0.0011	-0.0004	+0.0015
condition-2-es-5k	es	456	1	belebele	ur	en	n	n	0.6044	0.6130	0.6133	+0.0089	+0.0085	+0.0004
condition-2-es-5k	es	456	1	belebele	ur	es	n	y	0.5389	0.5356	0.5500	+0.0111	-0.0033	+0.0144
condition-2-es-5k	es	456	1	belebele	zh	en	n	n	0.7500	0.7596	0.7622	+0.0122	+0.0096	+0.0026
condition-2-es-5k	es	456	1	belebele	zh	es	n	y	0.7033	0.7044	0.7200	+0.0167	+0.0011	+0.0156
condition-2-es-5k	es	456	1	csqa	en	en	y	n	0.6070	0.6120	0.6140	+0.0070	+0.0050	+0.0020
condition-2-es-5k	es	456	1	csqa	en	es	n	y	0.6040	0.6117	0.6000	-0.0040	+0.0077	-0.0117
condition-2-es-5k	es	456	1	csqa	es	en	n	n	0.5240	0.5303	0.5370	+0.0130	+0.0063	+0.0067
condition-2-es-5k	es	456	1	csqa	es	es	y	y	0.5290	0.5333	0.5420	+0.0130	+0.0043	+0.0087
condition-2-es-5k	es	456	1	csqa	ur	en	n	n	0.4240	0.4237	0.4190	-0.0050	-0.0003	-0.0047
condition-2-es-5k	es	456	1	csqa	ur	es	n	y	0.3960	0.3970	0.4080	+0.0120	+0.0010	+0.0110
condition-2-es-5k	es	456	1	csqa	zh	en	n	n	0.5450	0.5527	0.5540	+0.0090	+0.0077	+0.0013
condition-2-es-5k	es	456	1	csqa	zh	es	n	y	0.5000	0.5067	0.5110	+0.0110	+0.0067	+0.0043
condition-2-es-5k	es	456	1	sib200	en	en	y	n	0.7549	0.7533	0.7696	+0.0147	-0.0016	+0.0163
condition-2-es-5k	es	456	1	sib200	en	es	n	y	0.6618	0.6487	0.6765	+0.0147	-0.0131	+0.0278
condition-2-es-5k	es	456	1	sib200	es	en	n	n	0.7745	0.7582	0.7647	-0.0098	-0.0163	+0.0065
condition-2-es-5k	es	456	1	sib200	es	es	y	y	0.6520	0.6389	0.6471	-0.0049	-0.0131	+0.0082
condition-2-es-5k	es	456	1	sib200	ur	en	n	n	0.7255	0.6895	0.7010	-0.0245	-0.0359	+0.0114
condition-2-es-5k	es	456	1	sib200	ur	es	n	y	0.5343	0.5180	0.5392	+0.0049	-0.0163	+0.0212
condition-2-es-5k	es	456	1	sib200	zh	en	n	n	0.7892	0.7500	0.7696	-0.0196	-0.0392	+0.0196
condition-2-es-5k	es	456	1	sib200	zh	es	n	y	0.5882	0.5735	0.6471	+0.0588	-0.0147	+0.0735
condition-2-es-5k	es	456	1	xnli	en	en	y	n	0.4998	0.5226	0.5248	+0.0250	+0.0228	+0.0021
